Date,Longitude,Latitude,Ozone.8.hr.max.
2005-05-22,-91.13,30.207,85.63
2005-05-22,-90.275,30.043,74.25
2005-05-22,-92.051,30.218,83.25
2005-05-22,-90.765,29.764,70.13
2005-05-22,-90.813,30.313,77.88
2005-05-22,-90.103,29.994,66.63
2005-05-22,-92.046,32.51,75.62
2005-05-22,-91.367,30.685,106.63
2005-05-22,-89.999,29.982,69.75
2005-05-22,-90.411,29.984,80.88
2005-05-22,-90.82,29.994,70.13
2005-05-22,-90.608,30.058,84.37
2005-05-22,-91.21,29.715,78
2005-05-22,-91.21,30.502,97.5
2005-05-22,-70.125,43.977,25.13
2005-05-22,-70.266,43.662,31.13
2005-05-22,-70.208,43.561,33.88
2005-05-22,-68.227,44.352,38.13
2005-05-22,-68.261,44.377,35.13
2005-05-22,-68.806,44.423,33.25
2005-05-22,-69.786,44.23,32
2005-05-22,-69.262,43.917,35.88
2005-05-22,-70.856,44.222,36.75
2005-05-22,-68.678,44.735,32.5
2005-05-22,-69.732,43.795,32.87
2005-05-22,-67.594,44.534,35
2005-05-22,-67.06,44.965,34.63
2005-05-22,-70.62,43.659,36.75
2005-05-22,-70.692,43.225,35.38
2005-05-22,-70.471,43.343,36.25
2005-05-22,-70.75,43.083,32.63
2005-05-22,-76.653,38.903,29.38
2005-05-22,-76.631,39.461,41
2005-05-22,-76.474,39.311,44.88
2005-05-22,-76.617,38.537,49.88
2005-05-22,-77.042,39.444,43.75
2005-05-22,-75.86,39.701,37.38
2005-05-22,-76.812,38.504,38.5
2005-05-22,-77.376,39.408,45.5
2005-05-22,-76.297,39.41,43.13
2005-05-22,-76.204,39.563,36.75
2005-05-22,-75.797,39.305,41.75
2005-05-22,-77.107,39.114,28.13
2005-05-22,-76.744,38.812,50
2005-05-22,-77.722,39.566,45.5
2005-05-22,-70.025,41.976,38.5
2005-05-22,-73.169,42.637,31.63
2005-05-22,-70.881,41.635,38.71
2005-05-22,-70.973,42.474,35.25
2005-05-22,-70.809,42.789,36.57
2005-05-22,-71.106,42.763,29.88
2005-05-22,-72.556,42.194,32.75
2005-05-22,-72.524,42.4,28.87
2005-05-22,-71.362,42.627,32.13
2005-05-22,-71.486,42.414,29.88
2005-05-22,-71.115,42.212,35.13
2005-05-22,-70.969,42.317,32.57
2005-05-22,-71.083,42.329,28.87
2005-05-22,-71.876,42.274,32.25
2005-05-22,-86.149,42.768,60.13
2005-05-22,-86.109,44.617,58.75
2005-05-22,-86.31,42.198,62.25
2005-05-22,-86.002,41.896,60.63
2005-05-22,-84.394,42.798,46.38
2005-05-22,-83.462,43.168,50.5
2005-05-22,-82.643,43.836,40.63
2005-05-22,-84.536,42.737,48.63
2005-05-22,-85.542,42.278,44.63
2005-05-22,-85.671,42.985,46.88
2005-05-22,-85.417,43.177,43.5
2005-05-22,-83.947,41.996,51.63
2005-05-22,-82.794,42.731,40.5
2005-05-22,-83.006,42.513,40.37
2005-05-22,-86.294,43.953,58.5
2005-05-22,-84.892,44.311,56
2005-05-22,-86.311,43.278,64.63
2005-05-22,-83.183,42.463,34.63
2005-05-22,-85.853,42.894,52.88
2005-05-22,-82.456,42.953,38.5
2005-05-22,-85.95,46.289,60.86
2005-05-22,-83.6,42.241,38.63
2005-05-22,-83.209,42.228,37.13
2005-05-22,-83.096,42.358,37.88
2005-05-22,-83.001,42.431,36.25
2005-05-22,-93.201,45.401,48.13
2005-05-22,-93.214,45.142,46.38
2005-05-22,-95.847,46.851,45.63
2005-05-22,-92.524,46.705,42.63
2005-05-22,-94.143,46.394,45.25
